Well,Well Position,Omit,Sample_Name,Target_Name,Task,Reporter,Quencher,CT,Ct_Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,Tm1,Tm2,Tm3,MTP,EXPFAIL,HIGHSD,NOAMP,PRFDROP
1,A1,0,BAT_1,HPRT,UNKNOWN,SYBR,None,22.789,22.643,0.152,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
2,A2,0,BAT_1,HPRT,UNKNOWN,SYBR,None,22.655,22.643,0.152,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
3,A3,0,BAT_1,HPRT,UNKNOWN,SYBR,None,22.486,22.643,0.152,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
4,A4,0,BAT_2,HPRT,UNKNOWN,SYBR,None,22.899,22.89,0.086,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
5,A5,0,BAT_2,HPRT,UNKNOWN,SYBR,None,22.971,22.89,0.086,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
6,A6,0,BAT_2,HPRT,UNKNOWN,SYBR,None,22.8,22.89,0.086,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
7,A7,0,BAT_3,HPRT,UNKNOWN,SYBR,None,22.498,22.496,0.137,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
8,A8,0,BAT_3,HPRT,UNKNOWN,SYBR,None,22.358,22.496,0.137,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
9,A9,0,BAT_3,HPRT,UNKNOWN,SYBR,None,22.632,22.496,0.137,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
10,A10,0,BAT_4,HPRT,UNKNOWN,SYBR,None,23.632,23.584,0.073,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
